submission_id;matchs_count;matchs_rate;erros_count;errors_rate;matchs;erros
486;31;62.0;19;38.0;[5386, 6027, 2837, 6807, 3867, 6814, 7331, 6440, 6827, 6445, 6834, 6451, 6839, 6842, 6335, 5184, 7359, 6851, 5319, 6861, 6863, 6864, 6865, 6880, 2149, 2155, 7280, 753, 6389, 6774, 4599];[4229, 6544, 25, 2202, 7451, 5659, 5793, 7204, 7335, 4905, 7338, 4406, 6840, 5699, 4554, 6481, 6370, 113, 5494]
6496;7;14.0;43;86.0;[3366, 7206, 4880, 5108, 7224, 125, 6559];[6786, 4226, 5126, 5640, 6152, 6794, 5386, 6800, 6802, 2837, 6552, 3864, 5402, 6816, 6440, 7208, 7211, 5934, 6833, 5177, 7226, 6331, 7229, 5185, 5827, 5316, 3270, 5063, 6856, 6861, 6864, 5328, 6867, 6228, 6489, 6873, 6114, 6769, 6774, 759, 6776, 6781, 4478]
5101;45;90.0;5;10.0;[3459, 5637, 5640, 4872, 6284, 5135, 6291, 6292, 6421, 662, 5019, 6304, 5540, 3238, 6316, 5935, 6065, 4402, 5176, 5434, 4415, 4416, 4419, 5315, 6213, 4428, 5840, 3667, 5972, 4056, 6237, 4574, 6241, 97, 100, 3687, 4586, 2922, 5362, 5491, 3701, 5368, 121, 6270, 6271];[5888, 5635, 5291, 6031, 3870]
6054;16;32.0;34;68.0;[4065, 6436, 4965, 6438, 2312, 4649, 5737, 6347, 5966, 4464, 5074, 5940, 4790, 5718, 7197, 6142];[4097, 6276, 5893, 6021, 5129, 6031, 6032, 6033, 6551, 3095, 3863, 6171, 6433, 6053, 5159, 6059, 6060, 6580, 5941, 6711, 6207, 5568, 5704, 5837, 6357, 6488, 5978, 4452, 5740, 5869, 5873, 6130, 5877, 2300]
5590;23;46.0;27;54.0;[5636, 4612, 5511, 5642, 5778, 5656, 5530, 5531, 5410, 5028, 5030, 5039, 5683, 4926, 5451, 5581, 4564, 5337, 5474, 4837, 5609, 4974, 6386];[5507, 5508, 4996, 5018, 5533, 5413, 4909, 5806, 5042, 3508, 5048, 5691, 5054, 5057, 5058, 5059, 5570, 5586, 5587, 5593, 5596, 4959, 5476, 5606, 5607, 5363, 4981]
5072;24;48.0;26;52.0;[3085, 6418, 5151, 6050, 6056, 6698, 5932, 6572, 4788, 6197, 6072, 6204, 6208, 5705, 5834, 6219, 5967, 5713, 5843, 5076, 5845, 6376, 5616, 6650];[6658, 7429, 5638, 7432, 6284, 6670, 7439, 3470, 5139, 5140, 5912, 7455, 7335, 4656, 6706, 5687, 4407, 5584, 6096, 4182, 5721, 6620, 6622, 5599, 760, 6267]
4842;43;86.0;7;14.0;[6027, 525, 6806, 6807, 6551, 3866, 3867, 6816, 3876, 6820, 6821, 6827, 6445, 6832, 6834, 6835, 6839, 6842, 6844, 6335, 6851, 6852, 5319, 6858, 6859, 6863, 5328, 6865, 5458, 6488, 5725, 6879, 5092, 6886, 6892, 493, 5612, 6389, 757, 6777, 4602, 6781, 3326];[121, 6854, 4427, 6124, 25, 4954, 4892]
7122;19;38.0;31;62.0;[256, 2829, 5907, 5661, 29, 6051, 2617, 5690, 7355, 6470, 4438, 745, 7151, 7157, 125, 375, 3322, 763, 4477];[6018, 4611, 662, 670, 5283, 5285, 4902, 5630, 5291, 5551, 5296, 4401, 5811, 3638, 7096, 6844, 6856, 5324, 4436, 7125, 6884, 102, 5351, 104, 4585, 4582, 5874, 6386, 119, 4475, 2174]
5065;29;58.0;21;42.0;[6658, 5892, 6664, 4877, 6288, 6164, 6297, 5145, 3483, 3874, 5284, 4903, 5161, 4650, 6703, 5040, 7215, 6706, 6722, 6083, 5317, 6725, 4423, 6616, 5857, 6243, 4197, 6253, 6655];[5121, 6408, 6286, 3478, 5540, 5415, 4904, 5816, 6204, 4927, 4930, 5318, 5705, 6346, 5968, 5461, 5080, 3675, 5342, 5616, 5366]
5309;12;24.0;38;76.0;[3876, 6852, 6886, 6152, 5545, 6858, 2603, 5610, 5869, 6834, 5458, 4055];[5506, 4995, 4996, 5636, 4612, 5266, 6292, 3863, 5656, 5018, 5533, 5028, 5413, 5802, 5038, 5039, 4913, 5042, 5048, 5691, 5568, 5057, 5570, 5059, 4168, 5587, 5332, 5469, 5342, 5983, 5475, 4837, 5607, 4073, 4974, 4981, 6137, 4987]
6299;15;30.0;35;70.0;[5698, 4450, 5701, 6407, 6248, 6012, 6187, 6413, 4557, 6260, 7445, 6136, 7451, 3900, 5949];[6792, 6664, 4232, 6288, 3601, 5658, 3483, 6556, 7452, 6301, 6820, 5287, 7208, 5161, 5294, 7215, 4658, 6201, 7226, 7108, 6343, 5067, 6094, 6613, 6616, 6876, 6620, 5854, 7137, 6882, 4835, 5093, 6261, 4861, 5503]
4441;10;20.0;40;80.0;[259, 7335, 3465, 2225, 84, 5108, 4469, 535, 313, 94];[6154, 4875, 5388, 6419, 6292, 5787, 3230, 6687, 6305, 7461, 6187, 6317, 5038, 6068, 6839, 6583, 4407, 575, 6848, 5957, 4554, 5324, 4429, 6096, 5842, 3671, 90, 91, 5725, 3677, 6118, 4582, 2922, 4586, 6639, 5616, 753, 4466, 4599, 6779]
3707;30;60.0;20;40.0;[6272, 5637, 5643, 5137, 6421, 5149, 6304, 5154, 5155, 5540, 6316, 4406, 4415, 4424, 4428, 3667, 6237, 4574, 3680, 6241, 4579, 6244, 6246, 3687, 5097, 2922, 4586, 750, 3701, 121];[3463, 6681, 3870, 5291, 5313, 4560, 6867, 4436, 84, 4438, 95, 4577, 102, 5735, 6633, 5099, 4077, 622, 6779, 3582]
5605;14;28.0;36;72.0;[2177, 2398, 5156, 3366, 4550, 5417, 5293, 2639, 5487, 7378, 7351, 2586, 5499, 6462];[136, 5897, 5642, 144, 5264, 5266, 4908, 5038, 6703, 7345, 5178, 7099, 5307, 5183, 2624, 6591, 7362, 7364, 4553, 5838, 7128, 5343, 2655, 5476, 4968, 5356, 4077, 4589, 3182, 5489, 4594, 7282, 2293, 5622, 5629, 6655]
6334;29;58.0;21;42.0;[2177, 259, 7303, 5780, 5397, 6819, 5156, 7335, 5417, 7342, 6063, 6575, 5299, 313, 7360, 6474, 2635, 2639, 7382, 2267, 95, 2656, 360, 2281, 5487, 7281, 243, 4477, 2303];[3591, 2191, 4879, 5922, 5924, 6183, 5427, 6591, 6468, 5829, 6217, 2249, 5449, 4057, 2149, 2661, 4587, 5356, 4589, 6381, 2673]
5585;37;74.0;13;26.0;[5636, 4612, 5639, 5511, 5642, 5003, 5269, 5656, 4889, 5532, 7455, 5665, 5410, 5028, 5029, 5030, 4910, 5039, 5683, 5044, 4926, 5056, 5444, 6599, 4559, 5584, 5332, 5337, 7129, 4059, 4834, 4837, 4838, 4974, 4975, 4976, 4856];[5506, 5507, 5059, 5476, 5606, 4964, 5806, 5586, 5587, 4981, 5691, 5596, 5054]
576;21;42.0;29;58.0;[5776, 5394, 7199, 7208, 5292, 7097, 7226, 6848, 5699, 4432, 4563, 7126, 3677, 6623, 5089, 5606, 2922, 6387, 5493, 4478, 4863];[2311, 6794, 5006, 5520, 5521, 5658, 541, 670, 5533, 5282, 5285, 4401, 6326, 7096, 5447, 7125, 5461, 4952, 5593, 5339, 5467, 6365, 5852, 104, 4584, 6134, 762, 2300, 5886]
4568;32;64.0;18;36.0;[6666, 5772, 6673, 6294, 6687, 6690, 6818, 6692, 6694, 3371, 6709, 3384, 6715, 6717, 5181, 6718, 6724, 6085, 6726, 6217, 3403, 5715, 6620, 6625, 5864, 4074, 6638, 6639, 4207, 6642, 6644, 4217];[5185, 6562, 5827, 580, 6883, 5574, 5607, 6824, 5867, 6444, 5390, 6833, 7095, 3864, 5373, 5437, 5502, 2591]
3451;19;38.0;31;62.0;[3464, 2829, 2574, 3730, 5907, 5795, 7335, 6332, 4434, 85, 3160, 6362, 3164, 5735, 2162, 7157, 5497, 124, 125];[5888, 5508, 6792, 2570, 5773, 5774, 3471, 6802, 147, 5914, 162, 6565, 3638, 4925, 6333, 3645, 6849, 3138, 5063, 6859, 6874, 5726, 3169, 618, 4074, 6003, 3190, 119, 6134, 3454, 6399]
5784;22;44.0;28;56.0;[6145, 5133, 6165, 3861, 5783, 5788, 6172, 5919, 6138, 6058, 6059, 5684, 5695, 5697, 6215, 5707, 5073, 5989, 6381, 6127, 5114, 6139];[2312, 7306, 5264, 5266, 5400, 5786, 5531, 6170, 5663, 6181, 5925, 5542, 2218, 6063, 5058, 4048, 5970, 4946, 4052, 4440, 5593, 7385, 5595, 5988, 743, 3438, 4600, 4987]
5996;44;88.0;6;12.0;[5122, 6148, 6407, 6408, 6025, 6410, 6412, 7445, 7448, 6172, 5151, 7457, 6693, 6055, 4648, 4788, 6072, 5948, 6204, 5821, 5692, 6209, 5829, 5961, 5834, 6219, 5967, 6224, 5713, 6226, 5850, 6748, 6236, 6372, 6375, 6377, 6380, 5997, 6126, 6645, 5110, 5879, 5113, 6012];[6370, 6083, 5917, 6640, 535, 3517]
5694;25;50.0;25;50.0;[5890, 6411, 3476, 6173, 5791, 5153, 5929, 5676, 4665, 5821, 6080, 5834, 7115, 5709, 5839, 6224, 5843, 5844, 6365, 6371, 5860, 5862, 7144, 6381, 5878];[6020, 6794, 3473, 6805, 6806, 6685, 6814, 6176, 6819, 5797, 5546, 5572, 6858, 7371, 5069, 5711, 4055, 6115, 6886, 4583, 5611, 6637, 6638, 6640, 7292]
