submission_id;recm_clusters;knn_clusters;same_cluster;matchs_count(VP)-REC;matchs_count(VP)-KNN;erros_count(FP)-REC;erros_count(FP)-KNN;erros_count(FN)-REC;erros_count(FN)-KNN;recm_sub_ids;nn_sub_ids;knn_sub_ids;matchs(VP)-REC;matchs(VP)-KNN;erros(FP)-REC;erros(FP)-KNN;erros(FN)-REC;erros(FN)-KNN;precision-REC;precision-KNN
5906;0.0;1.0;False;16;17;34;33;34;33;[7148, 5735, 3465, 2225, 6465, 2676, 3331, 4440, 4593, 6422, 6198, 6432, 6572, 749, 5905, 6259, 5899, 2542, 617, 3346, 2162, 666, 97, 3455, 5179, 5874, 370, 235, 4402, 6079, 4441, 6458, 3360, 585, 3368, 757, 6682, 111, 6630, 46, 4455, 756, 94, 7370, 3322, 7291, 5902, 5637, 2168, 622];[6251, 5707, 7148, 5735, 3465, 5667, 2225, 5970, 6465, 2676, 3331, 7333, 4440, 6165, 5478, 2179, 3474, 6475, 4593, 6422, 6198, 7267, 7346, 2171, 6034, 5725, 3648, 6432, 5784, 5702, 5183, 3218, 6572, 6043, 5156, 6843, 2574, 5510, 3354, 5079, 7361, 7282, 4217, 749, 2645, 6127, 5799, 4588, 5905, 6259];[6251, 5707, 5970, 7333, 6165, 3474, 7267, 7346, 2171, 6034, 3648, 5784, 5702, 3218, 6043, 2574, 6127, 5435, 6104, 6064, 5175, 5922, 5082, 6592, 2926, 5966, 5397, 3436, 3213, 5456, 3438, 3338, 34, 7460, 6063, 7444, 6431, 7354, 7275, 5910, 6478, 4058, 6876, 5335, 5988, 6461, 6735, 5073, 2586, 4595];[6432, 6465, 3331, 5735, 3465, 6572, 7148, 749, 5905, 2225, 4593, 6259, 2676, 6422, 6198, 4440];[3648, 7267, 7333, 5702, 5707, 6251, 2171, 2574, 6127, 3474, 3218, 6034, 6165, 7346, 5970, 5784, 6043];[2179, 5510, 2574, 6034, 3474, 3218, 6165, 5784, 3354, 6043, 5667, 5156, 7333, 5799, 7346, 6843, 5183, 3648, 7361, 5702, 5707, 6475, 5970, 2645, 5079, 5725, 7267, 5478, 6251, 4588, 6127, 7282, 4217, 2171];[3331, 2179, 5510, 3465, 5905, 6422, 3354, 6432, 5667, 5156, 5799, 6572, 2225, 6198, 6843, 5183, 6465, 7361, 6475, 2645, 5079, 4440, 5725, 5478, 5735, 7148, 749, 4588, 4593, 7282, 6259, 2676, 4217];[5637, 5899, 5902, 3346, 6682, 666, 3360, 3368, 46, 4402, 6458, 5179, 6079, 585, 7370, 4441, 94, 97, 6630, 4455, 617, 235, 2542, 111, 622, 2162, 5874, 370, 757, 756, 2168, 3322, 7291, 3455];[3338, 3213, 7444, 5397, 5910, 2586, 6431, 5922, 34, 7460, 6063, 6064, 5175, 7354, 5435, 6461, 6592, 5966, 6478, 5456, 6735, 5073, 5335, 6104, 5082, 4058, 6876, 5988, 7275, 3436, 2926, 3438, 4595];32.0;34.0
5972;5.0;0.0;False;19;21;31;29;31;29;[5360, 7207, 5724, 5291, 6190, 5799, 5602, 5484, 4478, 5934, 5647, 5369, 5853, 5595, 4830, 7434, 7229, 7211, 5006, 6161, 5431, 5280, 5542, 6023, 5603, 5500, 5673, 5814, 5551, 4479, 5599, 5672, 6579, 6140, 5578, 5399, 5964, 4584, 7210, 7228, 5396, 5588, 4831, 5823, 3463, 4896, 6347, 7197, 5008, 5371];[6237, 6293, 3685, 5360, 4402, 3667, 4861, 5637, 6185, 7207, 5142, 3681, 3701, 4601, 3238, 4659, 5019, 5724, 5291, 6190, 4872, 5041, 7458, 4056, 5799, 5602, 5484, 6179, 4478, 5934, 5647, 5540, 6298, 6292, 3870, 5176, 6241, 5101, 5369, 5853, 6255, 5595, 5023, 100, 5991, 4830, 7434, 7229, 7211, 5006];[6237, 6293, 3685, 4402, 3667, 5637, 5142, 3681, 3701, 3238, 5019, 4056, 5540, 6298, 6292, 5176, 6241, 5101, 6255, 5023, 100, 4574, 6065, 6282, 4416, 6329, 44, 5640, 5362, 6421, 3680, 4586, 6291, 6213, 5720, 5315, 6316, 6304, 5781, 97, 661, 760, 7334, 122, 5935, 4461, 4415, 5137, 662, 3639];[7434, 5006, 5647, 5799, 7207, 5291, 7211, 6190, 5934, 7229, 5595, 5724, 5853, 4830, 5602, 5484, 5360, 5369, 4478];[5637, 6292, 6293, 5142, 6298, 5019, 5023, 5540, 3238, 4402, 5176, 3667, 4056, 6237, 3681, 6241, 100, 3685, 5101, 6255, 3701];[5637, 4872, 6292, 6293, 5142, 6298, 5019, 3870, 5023, 7458, 6179, 5540, 3238, 6185, 5041, 4402, 4659, 5176, 3667, 4056, 6237, 3681, 6241, 100, 3685, 5991, 5101, 6255, 3701, 4601, 4861];[4872, 7434, 5006, 5647, 3870, 7458, 6179, 7207, 5799, 6185, 5291, 7211, 6190, 5934, 5041, 4659, 7229, 5595, 5724, 5853, 4830, 5602, 5991, 5484, 4601, 5360, 5369, 4861, 4478];[3463, 6023, 5008, 6161, 5396, 5399, 5500, 7197, 5280, 4896, 5542, 5672, 5673, 7210, 5551, 6579, 5814, 5431, 7228, 5823, 5578, 6347, 5964, 5588, 5599, 4831, 5603, 4584, 5371, 6140, 4479];[5640, 6282, 5137, 6291, 6421, 5781, 661, 662, 6304, 7334, 44, 6316, 5935, 6065, 3639, 6329, 4415, 4416, 5315, 6213, 5720, 4574, 3680, 97, 4586, 4461, 5362, 760, 122];38.0;42.0
5439;7.0;7.0;True;20;20;30;30;30;30;[5507, 5363, 4852, 5418, 5259, 5030, 5353, 5339, 4881, 5606, 4959, 4908, 5593, 5531, 5596, 4564, 5590, 4981, 4563, 5046, 5532, 5256, 5054, 5336, 5552, 5580, 5530, 5642, 5042, 5048, 4931, 5337, 4909, 4953, 4975, 6358, 5585, 5579, 4608, 5039, 5028, 5666, 5367, 5667, 4887, 4987, 4976, 5806, 5656, 5266];[5507, 5363, 4852, 5261, 6894, 5418, 4080, 5259, 4970, 5589, 5030, 4215, 5353, 3370, 5339, 4881, 5556, 5606, 6072, 4959, 5714, 6168, 4834, 5469, 5121, 4908, 5593, 5152, 4936, 6615, 6663, 4998, 5531, 5264, 5596, 4168, 4564, 5590, 4981, 4563, 6009, 4878, 4074, 5046, 5474, 6221, 7448, 6359, 5356, 5125];[5507, 5363, 4852, 5418, 5259, 5030, 5353, 5339, 4881, 5606, 4959, 4908, 5593, 5531, 5596, 4564, 5590, 4981, 4563, 5046, 5532, 5256, 5054, 5336, 5552, 5580, 5530, 5642, 5042, 5048, 4931, 5337, 4909, 4953, 4975, 6358, 5585, 5579, 4608, 5039, 5028, 5666, 5367, 5667, 4887, 4987, 4976, 5806, 5656, 5266];[5507, 5259, 4881, 5531, 5030, 5418, 4908, 5046, 4563, 4564, 5590, 5593, 5339, 5596, 4959, 5606, 5353, 5363, 4852, 4981];[5507, 5259, 4881, 5531, 5030, 5418, 4908, 5046, 4563, 4564, 5590, 5593, 5339, 5596, 4959, 5606, 5353, 5363, 4852, 4981];[5121, 5125, 4998, 6663, 5261, 4878, 5264, 7448, 6168, 5152, 3370, 5556, 6072, 4936, 4168, 6221, 5714, 5589, 6615, 6359, 5469, 4834, 5474, 4970, 4074, 5356, 6894, 4080, 4215, 6009];[5121, 5125, 4998, 6663, 5261, 4878, 5264, 7448, 6168, 5152, 3370, 5556, 6072, 4936, 4168, 6221, 5714, 5589, 6615, 6359, 5469, 4834, 5474, 4970, 4074, 5356, 6894, 4080, 4215, 6009];[4608, 5256, 5642, 5266, 4887, 5656, 5530, 5532, 5666, 5667, 5028, 4909, 5806, 5039, 5552, 5042, 5048, 5054, 4931, 5579, 5580, 5585, 6358, 5336, 5337, 4953, 4975, 4976, 5367, 4987];[4608, 5256, 5642, 5266, 4887, 5656, 5530, 5532, 5666, 5667, 5028, 4909, 5806, 5039, 5552, 5042, 5048, 5054, 4931, 5579, 5580, 5585, 6358, 5336, 5337, 4953, 4975, 4976, 5367, 4987];40.0;40.0
4965;5.0;5.0;True;24;24;26;26;26;26;[5360, 5718, 5934, 5484, 5396, 5551, 5940, 5280, 5599, 6014, 5603, 6023, 7197, 6347, 5745, 5542, 5853, 6190, 4830, 6884, 7207, 4478, 7096, 7125, 5595, 5369, 4831, 5588, 5285, 4576, 7314, 3463, 6186, 6896, 4479, 5799, 6579, 4412, 4051, 4045, 5673, 7228, 7210, 5672, 5852, 6024, 4896, 5006, 5401, 5291];[4065, 5893, 5740, 5360, 6437, 5718, 5877, 5934, 6054, 5484, 5396, 5551, 5940, 5280, 5599, 6014, 6828, 5603, 3275, 6023, 6347, 7197, 43, 5745, 3219, 6060, 7226, 7208, 6827, 5542, 5853, 6190, 6021, 4830, 5966, 6884, 4578, 6401, 7207, 6831, 6104, 4649, 4478, 5691, 5004, 5806, 5129, 7096, 7125, 5939];[5360, 5718, 5934, 5484, 5396, 5551, 5940, 5280, 5599, 6014, 5603, 6023, 7197, 6347, 5745, 5542, 5853, 6190, 4830, 6884, 7207, 4478, 7096, 7125, 5595, 5369, 4831, 5588, 5285, 4576, 7314, 3463, 6186, 6896, 4479, 5799, 6579, 4412, 4051, 4045, 5673, 7228, 7210, 5672, 5852, 6024, 4896, 5006, 5401, 5291];[6023, 5396, 7197, 5280, 5542, 7207, 5934, 5551, 6190, 6014, 5940, 7096, 6347, 7125, 5718, 5853, 4830, 5599, 5603, 6884, 5484, 5360, 5745, 4478];[6023, 5396, 7197, 5280, 5542, 7207, 5934, 5551, 6190, 6014, 5940, 7096, 6347, 7125, 5718, 5853, 4830, 5599, 5603, 6884, 5484, 5360, 5745, 4478];[6401, 5893, 6021, 5129, 5004, 3219, 6437, 6054, 7208, 4649, 43, 6828, 6060, 6827, 6831, 5806, 5939, 7226, 5691, 3275, 5966, 6104, 4065, 4578, 5740, 5877];[6401, 5893, 6021, 5129, 5004, 3219, 6437, 6054, 7208, 4649, 43, 6828, 6060, 6827, 6831, 5806, 5939, 7226, 5691, 3275, 5966, 6104, 4065, 4578, 5740, 5877];[3463, 6024, 5006, 7314, 5401, 4896, 5285, 5799, 5672, 5673, 6186, 7210, 5291, 6579, 7228, 4412, 4045, 4051, 5588, 5595, 5852, 4831, 4576, 6896, 5369, 4479];[3463, 6024, 5006, 7314, 5401, 4896, 5285, 5799, 5672, 5673, 6186, 7210, 5291, 6579, 7228, 4412, 4045, 4051, 5588, 5595, 5852, 4831, 4576, 6896, 5369, 4479];48.0;48.0
5689;1.0;1.0;True;31;31;19;19;19;19;[5685, 51, 3058, 5808, 5722, 3895, 5737, 6436, 2591, 3225, 2193, 6425, 4836, 6021, 4609, 3645, 2638, 6200, 5789, 6032, 5924, 4167, 3878, 5985, 4859, 6185, 2574, 6597, 6427, 5313, 5425, 4793, 6275, 2171, 5485, 6028, 4844, 5786, 6415, 6081, 6384, 6102, 6603, 5804, 5848, 5148, 5922, 6043, 5742, 7311];[5685, 51, 3058, 5808, 5722, 3895, 144, 3182, 5737, 6436, 2591, 3225, 5677, 2193, 6425, 4836, 6021, 4609, 3645, 6147, 2638, 4839, 7279, 6200, 6148, 5789, 6032, 4913, 5924, 7317, 5374, 4167, 3878, 6789, 5985, 6137, 5886, 5869, 4859, 5853, 6185, 2574, 7367, 7288, 6597, 6427, 5313, 5306, 5390, 5425];[5685, 51, 3058, 5808, 5722, 3895, 5737, 6436, 2591, 3225, 2193, 6425, 4836, 6021, 4609, 3645, 2638, 6200, 5789, 6032, 5924, 4167, 3878, 5985, 4859, 6185, 2574, 6597, 6427, 5313, 5425, 4793, 6275, 2171, 5485, 6028, 4844, 5786, 6415, 6081, 6384, 6102, 6603, 5804, 5848, 5148, 5922, 6043, 5742, 7311];[4609, 6021, 2574, 6032, 2193, 3225, 6425, 6427, 5789, 2591, 6436, 5924, 3878, 6185, 5808, 5425, 51, 5685, 3895, 6200, 3645, 5313, 6597, 4167, 2638, 5722, 5985, 4836, 5737, 3058, 4859];[4609, 6021, 2574, 6032, 2193, 3225, 6425, 6427, 5789, 2591, 6436, 5924, 3878, 6185, 5808, 5425, 51, 5685, 3895, 6200, 3645, 5313, 6597, 4167, 2638, 5722, 5985, 4836, 5737, 3058, 4859];[6147, 6148, 6789, 5390, 144, 7317, 5677, 5886, 4913, 5306, 7367, 5853, 4839, 5869, 3182, 7279, 7288, 6137, 5374];[6147, 6148, 6789, 5390, 144, 7317, 5677, 5886, 4913, 5306, 7367, 5853, 4839, 5869, 3182, 7279, 7288, 6137, 5374];[6275, 6028, 7311, 6415, 5786, 6043, 5148, 5922, 5804, 4793, 6081, 6603, 6102, 5848, 4844, 5485, 5742, 6384, 2171];[6275, 6028, 7311, 6415, 5786, 6043, 5148, 5922, 5804, 4793, 6081, 6603, 6102, 5848, 4844, 5485, 5742, 6384, 2171];62.0;62.0
7431;6.0;6.0;True;21;21;29;29;29;29;[6454, 4551, 6547, 4463, 5631, 3591, 5624, 6096, 6453, 5597, 6813, 4583, 4902, 5408, 5327, 5481, 6784, 5653, 5405, 5991, 3875, 6442, 4582, 6556, 6493, 6120, 7294, 4857, 6871, 5364, 5522, 5324, 495, 3872, 5372, 6370, 5264, 4580, 4839, 6866, 6770, 5010, 5634, 6838, 5455, 4937, 6798, 5645, 5066, 6894];[6454, 4551, 4467, 6024, 5678, 6547, 5316, 4463, 7375, 5631, 3591, 5624, 5670, 6096, 6453, 5597, 6787, 6813, 5429, 6792, 2643, 7456, 6490, 4583, 4902, 7461, 6895, 6201, 5408, 5138, 5623, 5327, 6372, 5481, 6784, 6027, 5653, 5263, 5405, 5659, 6358, 5738, 5991, 5406, 5328, 3901, 6375, 3875, 5265, 5079];[6454, 4551, 6547, 4463, 5631, 3591, 5624, 6096, 6453, 5597, 6813, 4583, 4902, 5408, 5327, 5481, 6784, 5653, 5405, 5991, 3875, 6442, 4582, 6556, 6493, 6120, 7294, 4857, 6871, 5364, 5522, 5324, 495, 3872, 5372, 6370, 5264, 4580, 4839, 6866, 6770, 5010, 5634, 6838, 5455, 4937, 6798, 5645, 5066, 6894];[6784, 3591, 6547, 5653, 5405, 6813, 5408, 3875, 4902, 6453, 6454, 4551, 5327, 6096, 5597, 4583, 5991, 5481, 4463, 5624, 5631];[6784, 3591, 6547, 5653, 5405, 6813, 5408, 3875, 4902, 6453, 6454, 4551, 5327, 6096, 5597, 4583, 5991, 5481, 4463, 5624, 5631];[6787, 6024, 6792, 6027, 5263, 5265, 5138, 5659, 5406, 7456, 7461, 5670, 5678, 5429, 6201, 3901, 5316, 7375, 5328, 2643, 6358, 5079, 6490, 6372, 6375, 5738, 6895, 4467, 5623];[6787, 6024, 6792, 6027, 5263, 5265, 5138, 5659, 5406, 7456, 7461, 5670, 5678, 5429, 6201, 3901, 5316, 7375, 5328, 2643, 6358, 5079, 6490, 6372, 6375, 5738, 6895, 4467, 5623];[5634, 5645, 6798, 5264, 5522, 5010, 6556, 3872, 6442, 6838, 4937, 5066, 5324, 5455, 6866, 6871, 6493, 6370, 4580, 4582, 4839, 6120, 6894, 495, 6770, 5364, 4857, 5372, 7294];[5634, 5645, 6798, 5264, 5522, 5010, 6556, 3872, 6442, 6838, 4937, 5066, 5324, 5455, 6866, 6871, 6493, 6370, 4580, 4582, 4839, 6120, 6894, 495, 6770, 5364, 4857, 5372, 7294];42.0;42.0
7329;0.0;6.0;False;9;14;41;36;41;36;[7336, 4460, 4664, 5315, 5957, 5874, 4408, 2542, 6013, 4100, 7384, 7305, 5096, 3671, 6419, 4586, 7204, 7222, 6682, 2162, 5142, 7281, 246, 7360, 5104, 6030, 5294, 4579, 756, 6022, 7157, 535, 6212, 534, 6051, 5899, 605, 6289, 3360, 6255, 6660, 6612, 5097, 4406, 3730, 5720, 100, 6840, 5927, 5661];[7336, 7280, 7359, 5648, 5628, 4566, 6469, 5780, 4460, 4197, 5343, 5318, 5655, 4664, 5356, 2586, 4887, 5598, 5366, 5315, 3898, 5957, 4844, 4454, 5397, 2269, 5501, 5479, 5874, 5556, 5266, 5527, 4408, 6480, 7430, 5262, 4589, 5178, 5270, 4937, 753, 5528, 4182, 2542, 5850, 5301, 5538, 6013, 6443, 4894];[4566, 6469, 5598, 5501, 5556, 5527, 5262, 4589, 4937, 5528, 4182, 5538, 6443, 4894, 5354, 5489, 2174, 6155, 5600, 5364, 5412, 5432, 5289, 5136, 5630, 5631, 5308, 5390, 3370, 540, 5481, 4882, 6096, 4580, 5652, 4043, 5619, 5537, 5324, 5010, 5286, 5264, 4573, 4954, 5514, 5621, 578, 4950, 4961, 4977];[5315, 5957, 7336, 4664, 4460, 2542, 5874, 4408, 6013];[5538, 6469, 5598, 4937, 6443, 4589, 5262, 5556, 4566, 5527, 5528, 4182, 5501, 4894];[7430, 5262, 5648, 5266, 5780, 5397, 5270, 5527, 5655, 4887, 5528, 2586, 4894, 5538, 6443, 5556, 5301, 5178, 3898, 7359, 6469, 5318, 4937, 6480, 4566, 4182, 5850, 2269, 5598, 5343, 4197, 4454, 5479, 5356, 4844, 4589, 7280, 753, 5366, 5628, 5501];[7430, 5648, 5266, 5780, 5397, 5270, 5655, 4887, 2586, 7336, 5301, 4408, 4664, 5178, 3898, 7359, 5315, 5957, 5318, 6480, 5850, 2269, 5343, 4197, 4454, 5479, 4460, 5356, 4844, 2542, 7280, 753, 5874, 5366, 5628, 6013];[4100, 6660, 6022, 7305, 5899, 6030, 6289, 3730, 6419, 5142, 535, 534, 6682, 5661, 3360, 6051, 7204, 5927, 5294, 7222, 4406, 6840, 7360, 6212, 6612, 3671, 7384, 5720, 605, 4579, 100, 5096, 5097, 4586, 6255, 5104, 7281, 2162, 756, 7157, 246];[5514, 6155, 5390, 5136, 5264, 4882, 5010, 5652, 540, 5537, 5412, 5286, 5289, 3370, 5432, 2174, 5308, 578, 4043, 5324, 6096, 4950, 4954, 4573, 5600, 4961, 4580, 5481, 5354, 5489, 4977, 5619, 5364, 5621, 5630, 5631];18.0;28.000000000000004
5862;9.0;9.0;True;26;26;24;24;24;24;[6112, 5834, 3508, 5961, 5709, 6219, 5110, 6150, 5920, 5801, 6204, 6168, 6225, 3476, 5713, 5845, 6375, 5126, 5394, 5968, 6113, 6218, 5638, 5122, 5965, 5728, 6182, 5292, 5949, 5064, 6100, 6229, 6645, 6693, 6377, 5948, 6410, 5744, 7457, 5151, 5303, 6057, 5918, 5616, 6012, 6143, 7448, 4648, 5916, 5187];[6688, 6112, 5834, 5711, 6638, 6686, 6115, 3508, 5961, 5709, 6618, 6666, 6219, 5110, 5165, 6150, 5920, 5801, 6204, 6168, 5152, 6225, 3476, 5713, 5845, 6375, 5126, 6102, 5394, 5968, 6710, 5789, 4215, 5721, 6699, 6651, 6113, 4201, 6218, 5638, 5122, 4998, 5932, 6700, 6652, 5965, 4852, 5643, 4951, 5728];[6112, 5834, 3508, 5961, 5709, 6219, 5110, 6150, 5920, 5801, 6204, 6168, 6225, 3476, 5713, 5845, 6375, 5126, 5394, 5968, 6113, 6218, 5638, 5122, 5965, 5728, 6182, 5292, 5949, 5064, 6100, 6229, 6645, 6693, 6377, 5948, 6410, 5744, 7457, 5151, 5303, 6057, 5918, 5616, 6012, 6143, 7448, 4648, 5916, 5187];[5122, 5638, 6150, 5126, 5394, 3476, 6168, 5920, 5801, 3508, 6204, 5961, 5834, 6219, 6218, 5709, 5965, 5968, 6225, 5713, 5845, 6112, 6113, 5728, 6375, 5110];[5122, 5638, 6150, 5126, 5394, 3476, 6168, 5920, 5801, 3508, 6204, 5961, 5834, 6219, 6218, 5709, 5965, 5968, 6225, 5713, 5845, 6112, 6113, 5728, 6375, 5110];[4998, 6666, 5643, 5789, 6686, 6688, 5152, 6699, 5932, 5165, 6700, 6710, 5711, 6102, 4951, 5721, 6618, 6115, 4201, 6638, 4852, 4215, 6651, 6652];[4998, 6666, 5643, 5789, 6686, 6688, 5152, 6699, 5932, 5165, 6700, 6710, 5711, 6102, 4951, 5721, 6618, 6115, 4201, 6638, 4852, 4215, 6651, 6652];[6410, 7448, 5916, 5918, 5151, 7457, 6693, 6182, 4648, 6057, 5292, 5303, 5948, 5949, 5187, 5064, 6100, 6229, 6377, 5744, 5616, 6645, 6012, 6143];[6410, 7448, 5916, 5918, 5151, 7457, 6693, 6182, 4648, 6057, 5292, 5303, 5948, 5949, 5187, 5064, 6100, 6229, 6377, 5744, 5616, 6645, 6012, 6143];52.0;52.0
3864;6.0;6.0;True;19;19;31;31;31;31;[5556, 4603, 4857, 5437, 5390, 5066, 3872, 5569, 4839, 5374, 6548, 6485, 6447, 6120, 6326, 6838, 5524, 5564, 6871, 3370, 5432, 5412, 5645, 5272, 6798, 6811, 4569, 6849, 6866, 5652, 6784, 5306, 5404, 4463, 5296, 3894, 6771, 5501, 5807, 5373, 6188, 4598, 4570, 5529, 5308, 5546, 5438, 5286, 578, 4182];[3898, 5655, 5298, 5556, 5177, 5502, 4603, 4857, 5160, 6828, 5437, 5390, 5848, 6840, 4556, 6845, 5066, 3872, 6064, 7372, 5827, 5733, 7299, 7378, 4572, 6847, 5569, 4568, 6176, 6839, 4839, 5374, 6548, 6485, 4467, 6698, 6822, 5326, 6107, 6447, 6856, 6120, 5314, 5664, 6326, 5565, 6838, 5524, 5564, 6871];[5556, 4603, 4857, 5437, 5390, 5066, 3872, 5569, 4839, 5374, 6548, 6485, 6447, 6120, 6326, 6838, 5524, 5564, 6871, 3370, 5432, 5412, 5645, 5272, 6798, 6811, 4569, 6849, 6866, 5652, 6784, 5306, 5404, 4463, 5296, 3894, 6771, 5501, 5807, 5373, 6188, 4598, 4570, 5529, 5308, 5546, 5438, 5286, 578, 4182];[5390, 5524, 6548, 3872, 6447, 5556, 6326, 6838, 5564, 5437, 5569, 5066, 6485, 6871, 4839, 6120, 4857, 4603, 5374];[5390, 5524, 6548, 3872, 6447, 5556, 6326, 6838, 5564, 5437, 5569, 5066, 6485, 6871, 4839, 6120, 4857, 4603, 5374];[7299, 5655, 6176, 5664, 6822, 5160, 6698, 6828, 6064, 5298, 6839, 6840, 5177, 3898, 5565, 6845, 6847, 5314, 5827, 6856, 4556, 7372, 5326, 7378, 5848, 4568, 6107, 4572, 5733, 4467, 5502];[7299, 5655, 6176, 5664, 6822, 5160, 6698, 6828, 6064, 5298, 6839, 6840, 5177, 3898, 5565, 6845, 6847, 5314, 5827, 6856, 4556, 7372, 5326, 7378, 5848, 4568, 6107, 4572, 5733, 4467, 5502];[6784, 5645, 6798, 5652, 5272, 5529, 6811, 5404, 5501, 5412, 5286, 3370, 5546, 6188, 5807, 5296, 3894, 5432, 5306, 5308, 5438, 6849, 578, 6866, 4182, 4569, 4570, 4463, 6771, 4598, 5373];[6784, 5645, 6798, 5652, 5272, 5529, 6811, 5404, 5501, 5412, 5286, 3370, 5546, 6188, 5807, 5296, 3894, 5432, 5306, 5308, 5438, 6849, 578, 6866, 4182, 4569, 4570, 4463, 6771, 4598, 5373];38.0;38.0
6746;1.0;1.0;True;36;36;14;14;14;14;[3897, 3124, 6597, 2193, 5804, 3058, 4609, 3895, 5685, 5894, 3365, 6001, 5378, 5425, 4652, 6425, 3231, 2577, 5953, 3645, 5114, 5716, 5985, 6582, 5163, 3225, 5722, 6354, 2286, 5893, 2171, 4066, 3228, 5663, 7442, 6063, 51, 5381, 4836, 6436, 6415, 2591, 6052, 3878, 5848, 5465, 5780, 4921, 6602, 6742];[3226, 3897, 3124, 6597, 2193, 6748, 6608, 5804, 3058, 4609, 3895, 5685, 5894, 6014, 6750, 6610, 3365, 6001, 5378, 5425, 5847, 4652, 6425, 3231, 6047, 2577, 5953, 3645, 5114, 6147, 5716, 5985, 6582, 5163, 3225, 5722, 6354, 2286, 6182, 5893, 2171, 7443, 6112, 4066, 3228, 5663, 4650, 7442, 5404, 6063];[3897, 3124, 6597, 2193, 5804, 3058, 4609, 3895, 5685, 5894, 3365, 6001, 5378, 5425, 4652, 6425, 3231, 2577, 5953, 3645, 5114, 5716, 5985, 6582, 5163, 3225, 5722, 6354, 2286, 5893, 2171, 4066, 3228, 5663, 7442, 6063, 51, 5381, 4836, 6436, 6415, 2591, 6052, 3878, 5848, 5465, 5780, 4921, 6602, 6742];[4609, 5378, 5893, 5894, 2193, 2577, 7442, 3225, 6425, 3228, 5663, 3231, 3365, 5163, 5804, 4652, 6063, 5425, 3124, 5685, 6582, 3895, 3897, 3645, 5953, 6597, 6354, 5716, 5722, 5985, 4066, 2286, 6001, 3058, 5114, 2171];[4609, 5378, 5893, 5894, 2193, 2577, 7442, 3225, 6425, 3228, 5663, 3231, 3365, 5163, 5804, 4652, 6063, 5425, 3124, 5685, 6582, 3895, 3897, 3645, 5953, 6597, 6354, 5716, 5722, 5985, 4066, 2286, 6001, 3058, 5114, 2171];[6112, 6748, 6147, 6182, 4650, 6608, 6610, 7443, 6014, 5847, 3226, 5404, 6750, 6047];[6112, 6748, 6147, 6182, 4650, 6608, 6610, 7443, 6014, 5847, 3226, 5404, 6750, 6047];[6436, 5381, 6052, 3878, 5465, 4836, 6602, 6415, 51, 5780, 6742, 5848, 4921, 2591];[6436, 5381, 6052, 3878, 5465, 4836, 6602, 6415, 51, 5780, 6742, 5848, 4921, 2591];72.0;72.0
